id,Cliente,Segmento
0,Cliente 0,Persona
1,Cliente 1,Persona
2,Cliente 2,Persona
3,Cliente 3,Persona
4,Cliente 4,Persona
5,Cliente 5,Empresa
6,Cliente 6,Empresa
7,Cliente 7,Persona
8,Cliente 8,Empresa
9,Cliente 9,Persona
10,Cliente 10,Empresa
11,Cliente 11,Empresa
12,Cliente 12,Persona
13,Cliente 13,Persona
14,Cliente 14,Persona
15,Cliente 15,Empresa
16,Cliente 16,Persona
17,Cliente 17,Persona
18,Cliente 18,Persona
19,Cliente 19,Empresa
20,Cliente 20,Persona
21,Cliente 21,Empresa
22,Cliente 22,Persona
23,Cliente 23,Empresa
24,Cliente 24,Empresa
25,Cliente 25,Empresa
26,Cliente 26,Persona
27,Cliente 27,Persona
28,Cliente 28,Persona
29,Cliente 29,Persona
30,Cliente 30,Empresa
31,Cliente 31,Persona
32,Cliente 32,Empresa
33,Cliente 33,Persona
34,Cliente 34,Persona
35,Cliente 35,Empresa
36,Cliente 36,Persona
37,Cliente 37,Empresa
38,Cliente 38,Empresa
39,Cliente 39,Empresa
40,Cliente 40,Empresa
41,Cliente 41,Persona
42,Cliente 42,Empresa
43,Cliente 43,Persona
44,Cliente 44,Empresa
45,Cliente 45,Persona
46,Cliente 46,Persona
47,Cliente 47,Empresa
48,Cliente 48,Empresa
49,Cliente 49,Empresa
